For 10th degree Polynomial
x,arctan(x),obtained_value,(arctan(x) - obtained_value)
0,0,-0.105316,0.105316
0.25,0.244979,0.213081,0.031898
0.5,0.463648,0.456396,0.00725133
0.75,0.643501,0.642467,0.00103414
1,0.785398,0.785398,0
1.25,0.896055,0.89609,-3.45774e-05
1.5,0.982794,0.982794,0
1.75,1.05165,1.05165,3.94587e-06
2,1.10715,1.10715,0
2.25,1.15257,1.15257,-8.76923e-07
2.5,1.19029,1.19029,0
2.75,1.22203,1.22203,3.21874e-07
3,1.24905,1.24905,0
3.25,1.2723,1.2723,-1.8111e-07
3.5,1.2925,1.2925,2.22045e-16
3.75,1.31019,1.31019,1.51123e-07
4,1.32582,1.32582,0
4.25,1.33971,1.33971,-1.86048e-07
4.5,1.35213,1.35213,-2.22045e-16
4.75,1.3633,1.3633,3.45709e-07
5,1.3734,1.3734,-2.22045e-16
5.25,1.38257,1.38258,-1.03388e-06
5.5,1.39094,1.39094,0
5.75,1.39861,1.3986,5.82841e-06
6,1.40565,1.40565,-4.44089e-16
6.25,1.41214,1.41225,-0.000110048
6.5,1.41815,1.41877,-0.000622478
6.75,1.42372,1.42601,-0.00229534
7,1.4289,1.4357,-0.00679997
7.25,1.43373,1.45121,-0.0174749
7.5,1.43824,1.47876,-0.0405148
7.75,1.44247,1.52924,-0.0867665
8,1.44644,1.62079,-0.174352
